,source,relation,destination
6858,Retraction Watch,maintain,database
6859,Retraction Watch,retracted,COVID-19 articles
6860,censorship,performed by,governments
6861,fake news laws,criminalize,certain types
6862,fake news laws,criminalize,speech
6863,fake news laws,regarding,coronavirus
6864,people,making,posts
6865,Turkish Interior Ministry,reported In,93 suspects and
6866,Turkish Interior Ministry,reported In,social media users
6867,posts,targeting,officials
6868,posts,spreading,panic
6869,virus,spread in,Turkey
6870,officials,take,insufficient measures
6871,3600 people,spreading about,rumors
6872,3600 people,spreading about,coronavirus
6873,3600 people,spreading about,country
6874,who,expressed,concerns
6875,who,expressed,spread
6876,who,expressed,COVID-19
6877,who,arrested between,January and
6878,who,arrested between,fake news charges
6879,Algerian lawmakers,passed In,law criminalizing
6880,Algerian lawmakers,passed In,fake news
6881,Algerian lawmakers,deemed,public order and
6882,Hong people,spreading,false information
6883,Hong people,spreading,COVID-19 pandemic
6884,United Arab Emirates,introduced for,criminal penalties
6885,United Arab Emirates,introduced for,spread
6886,United Arab Emirates,introduced for,misinformation and
6887,United Arab Emirates,related to,outbreak
6888,Myanmar,blocked,access
6889,Myanmar,blocked,221 news websites
6890,Myanmar,leading,media outlets
6891,WHO,warned of,criminal scams involving
6892,WHO,warned of,perpetrators
6893,who,misrepresent as,themselves
6894,who,misrepresent as,representatives
6895,who,misrepresent as,WHO seeking
6896,who,misrepresent as,personal information
6897,who,misrepresent as,victims
6898,who,misrepresent as,email or
6899,Federal Communications Commission,advised,consumers
6900,Federal Communications Commission,click on,links
6901,Federal Communications Commission,click on,suspicious emails
6902,Federal Communications Commission,give in,personal information
6903,Federal Communications Commission,give in,emails
6904,Federal Communications Commission,give in,text messages or
6905,Federal Trade Commission,warned on,charity scams related
6906,Federal Trade Commission,warned on,pandemic
6907,Federal Trade Commission,advised,consumers
6908,Federal Trade Commission,donate in,cash
6909,firm Check Point,phishing,attacks
6910,firm Check Point,lure into,victims
6911,firm Check Point,installing under,computer virus
6912,firm Check Point,installing under,guise
6913,firm Check Point,themed,emails containing
6914,firm Check Point,themed,attachments
6915,Cyber criminals,use,deceptive domains
6916,Cyber criminals,use,such
6917,Cyber criminals,use,correct cdc.gov
6918,Cyber criminals,spoof,original domain
6919,it,resemble,specific websites
6920,United States,reported,incidents
6921,United States,reported,criminals knocking
6922,United States,reported,doors
6923,United States,be,CDC
6924,criminals,knocking on,doors
6925,criminals,be,CDC
6926,criminals,sell at,products
6927,criminals,sell at,inflated prices or
6928,criminals,sell at,scam guise
6929,criminals,protecting from,public
6930,criminals,protecting from,coronavirus
6931,Links,spread,malware
6932,Links,circulating on,Internet
6933,criminals,take Since,advantage
6934,criminals,take Since,stimulus bill
6935,criminals,asking,people
6936,criminals,pay in,advance
6937,criminals,receive,stimulus payment
6938,IRS,advised Because,consumers
6939,IRS,use,official coronavirus web address
6940,IRS,submit to,information
6941,IRS,submit to,IRS
6942,IRS,submit to,response
6943,IRS,submit to,text
6944,many financial companies,posted In,similar advisories
6945,many financial companies,posted In,Humana websites
6946,social distancing,called In,physical distancing
6947,social distancing,is,pharmaceutical interventions or
6948,social distancing,prevent by,spread
6949,social distancing,prevent by,contagious disease
6950,social distancing,maintaining,physical distance
6951,social distancing,maintaining,people
6952,social distancing,reducing,number
6953,social distancing,reducing,times
6954,people,come into,close contact
6955,people,come into,other
6956,It,keeping from,certain distance
6957,It,keeping from,others
6958,distance,differ from,differs
6959,distance,differ from,country
6960,distance,differ from,country
6961,distance,change with,time
6962,distance,gathering in,large groups
6963,uninfected person,come into,physical contact
6964,uninfected person,come into,infected person
6965,disease transmission,resulting in,fewer deaths
6966,measures,used in,combination
6967,measures,used in,others
6968,measures,used in,good respiratory hygiene
6969,measures,used in,masks and
6970,measures,including,closing
6971,measures,including,schools and
6972,measures,restricting,movement
6973,measures,restricting,people
6974,measures,restricting,mass gatherings
6975,Drawbacks,include,loneliness
6976,Drawbacks,reduced,other benefits associated
6977,Drawbacks,reduced,human interaction
6978,infectious disease,spread via,one or
6979,infectious disease,spread via,following methods
6980,infectious disease,including,sexual contact
6981,infectious disease,contaminated,surface
6982,airborne microorganism,survive in,air
6983,airborne microorganism,survive in,long periods
6984,infection,transmitted via,contaminated water or
6985,infection,transmitted via,vectors
6986,infection,transmitted via,such mosquitoes or
6987,Authorities,mandated during,social distancing
6988,Authorities,mandated during,COVID-19 pandemic
6989,COVID-19 pandemic,preventing,transmission
6990,COVID-19 pandemic,preventing,COVID-19
6991,COVID-19,spread over,short distances
6992,COVID-19,spread over,long ones
6993,it,spread,distances
6994,it,spread,2 m
6995,it,ventilated,places
6996,it,ventilated,prolonged exposure
6997,term,introduced until,21st century
6998,measures,distancing,5th century BC
6999,Bible,contain,one
7000,Bible,know,references
7001,Bible,know,practice
7002,Bible,know,Book
7003,Bible,know,Leviticus
7004,Bible,know,13:46 leper
7005,Bible,know,whom
7006,leper,is,whom
7007,leper,shall,whom
7008,Emperor Justinian,enforced During,ineffective quarantine
7009,Emperor Justinian,enforced During,Byzantine Empire
7010,Emperor Justinian,dumping into,bodies
7011,Emperor Justinian,dumping into,sea
7012,Justinian,blamed,widespread outbreak
7013,Justinian,blamed,Jews
7014,social distancing measures,implemented in,several epidemics
7015,first cases,detected in,St. Louis
7016,first cases,detected in,1918 flu pandemic
7017,authorities,implemented In,school closures
7018,authorities,implemented In,public gatherings and
7019,influenza fatality rates,were,Philadelphia
7020,influenza fatality rates,had,fewer cases
7021,influenza fatality rates,had,influenza
7022,mass parade,introduce until,social distancing
7023,mass parade,distancing,first cases
7024,World Health Organization,using,term
7025,social it,prevent,transmission
7026,people,meeting at,safe distance
7027,people,stay at,home
7028,people,meeting via,meeting
7029,people,meeting via,technology
7030,American Centers,described as,social distancing
7031,American Centers,described as,set
7032,American Centers,described as,methods
7033,American Centers,reducing,frequency and
7034,American Centers,reducing,contact
7035,American Centers,reducing,people
7036,American Centers,reducing,order
7037,American Centers,decrease,risk
7038,American Centers,decrease,transmission
7039,American Centers,decrease,disease
7040,WHO,described During,social distancing
7041,WHO,keeping,length distance
7042,WHO,keeping,others
7043,WHO,minimizing,gatherings
7044,American Centers,defined During,social distancing
7045,American Centers,remaining out,settings
7046,American Centers,avoiding from,mass gatherings
7047,American Centers,maintaining,distance
7048,American Centers,maintaining,two others
7049,Social distancing,combined with,use
7050,Social distancing,combined with,face masks
7051,Social distancing,delay,pandemic
7052,Several social distancing measures,control,spread
7053,Several social distancing measures,control,contagious illnesses
7054,measures,applied,order
7055,distances,recommended at,places
7056,distances,recommended at,work
7057,possible it,work from,home
7058,distance,advised by,authorities
7059,distance,recommend During,1 m
7060,China,distancing,policy
7061,South Korea,adopted,1.4 m
7062,Australia,adopted,1.5 m
7063,United States,adopted,6 ft
7064,1.8 Canada,adopted,2 m
7065,United Kingdom,advised on,2 m
7066,United Kingdom,advised on,July 4
7067,2020,reduced to,this
7068,2020,reduced to,one metre
7069,other methods,were,use
7070,metre recommendation,stem from,research
7071,metre recommendation,based,transmission
7072,metre recommendation,based,tuberculosis
7073,metre recommendation,based,William F. Wells
7074,metre recommendation,find,droplets produced
7075,metre recommendation,find,exhalation
7076,metre recommendation,landed from,average
7077,metre recommendation,landed from,3 ft
7078,U.S. adoption,speculated,6 ft
7079,U.S. adoption,stemmed from,study
7080,U.S. adoption,stemmed from,SARS transmission
7081,U.S. adoption,stemmed from,airplane
7082,U.S. adoption,published in,New England Journal
7083,U.S. adoption,published in,Medicine
7084,U.S. CDC,provide,specific information
7085,that,suggested,1–2 m
7086,One minute,produce with,oral droplets
7087,One minute,produce with,load
7088,One minute,produce with,million CoV-2 virus
7089,One minute,produce with,milliliter
7090,One minute,remain for,more than eight minutes
7091,One minute,remain for,time which
7092,many people,remain in,area
7093,sneeze,distribute,such droplets
7094,sneeze,distribute,7 m
7095,Social distancing,is,face masks
7096,Social distancing,reducing,spread
7097,Social distancing,reducing,COVID-19
7098,Various alternatives,proposed for,tradition
7099,Various alternatives,proposed for,handshaking
7100,gesture,placing,palms
7101,fingers,drawing to,hands
7102,fingers,drawing to,heart
7103,gesture,used by,Prince Charles
7104,gesture,greeting,reception guests
7105,gesture,recommended by,Director General
7106,gesture,recommended by,WHO
7107,Other alternatives,include,popular thumbs gesture
7108,Other alternatives,placing on,palm
7109,Other alternatives,placing on,heart
7110,Other alternatives,practiced in,parts
7111,Other alternatives,practiced in,Iran
7112,other workstation,increase,distance
7113,other workstation,increase,people working
7114,screens,increase,workstations
7115,screens,are,place
7116,people,maintain in,distance
7117,people,maintain in,public places
7118,transmission,show,outbreak
7119,transmission,closing,schools
7120,effectiveness,depend on,contacts
7121,children,maintain outside,school
7122,one parent,take off,time
7123,one parent,take off,work
7124,factors,result in,social disruption
7125,Modeling studies,based on,U.S. data
7126,10 %,suggest,affected workplaces
7127,attack rate,closed In,4.9 %
7128,peak time,delayed by,one week
7129,Workplace closures,include,closure
7130,Workplace closures,include,essential businesses and
7131,Workplace closures,mean,facilities
7132,Workplace closures,maintain,primary functions
7133,Workplace closures,maintain,community
7134,Workplace closures,opposed to,essential services
7135,Cancellation,include,sports events
7136,mass gatherings,increase,potential
7137,mass gatherings,increase,infectious disease transmission
7138,certain types,suggest,mass gatherings
7139,certain types,increased,risk
7140,certain types,increased,influenza transmission
7141,certain types,seed into,new strains
7142,certain types,seed into,area
7143,certain types,instigating in,community transmission
7144,certain types,instigating in,pandemic
7145,military parades,spreading by,disease
7146,military parades,mixing with,infected sailors
7147,military parades,mixing with,crowds
7148,military parades,mixing with,civilians
7149,Restricting,Restricting in,mass gatherings
7150,Restricting,Restricting in,combination
7151,Restricting,Restricting in,other social distancing interventions
7152,Restricting,reduce,transmission
7153,study,reviewed,British Medical Journal
7154,study,reviewed,study
7155,study,reviewed,British Medical Journal
7156,study,reviewed,one
7157,study,reviewed,key components
7158,study,reviewed,effective strategy
7159,study,reducing,burden
7160,study,reducing,COVID-19
7161,Border restrictions,delay by,epidemic
7162,Border restrictions,delay by,more than two to three weeks
7163,Border restrictions,implemented with,over 99 % coverage
7164,Airport screening,preventing during,viral transmission
7165,Airport screening,preventing during,2003 SARS outbreak
7166,Airport screening,preventing during,Canada and
7167,Strict border controls,imposed from,1770
7168,Strict border controls,imposed from,1871
